title,year,conf,conf_long
ReACt: A Resource-centric Access Control System for Web-app Interactions on Android,2021,WWW,International World Wide Web Conference
RECON: Relation Extraction using Knowledge Graph Context in a Graph Neural Network,2021,WWW,International World Wide Web Conference
Reinforcement Recommendation with User \Multi-aspect Preference,2021,WWW,International World Wide Web Conference
REST: Reciprocal Framework for Spatiotemporal coupled predictions,2021,WWW,International World Wide Web Conference
REST: Relational Event-driven Stock Trend Forecasting,2021,WWW,International World Wide Web Conference
"RETA: A Schema-Aware, End-to-End Solution for Instance Completion in Knowledge Graphs",2021,WWW,International World Wide Web Conference
RetaGNN: Relational Temporal Attentive Graph Neural Networks for Holistic Sequential Recommendation,2021,WWW,International World Wide Web Conference
Revisiting the Evaluation Protocol of Knowledge Graph Completion Methods for Link Prediction,2021,WWW,International World Wide Web Conference
RIGA: Covert and Robust White-Box Watermarking of Deep Neural Networks,2021,WWW,International World Wide Web Conference
Robust Android Malware Detection Against Adversarial Example Attacks,2021,WWW,International World Wide Web Conference
Robust Generalization and Safe Query-Specialization in Counterfactual Learning to Rank,2021,WWW,International World Wide Web Conference
Robust Network Alignment via Attack Signal Scaling and Adversarial Perturbation Elimination,2021,WWW,International World Wide Web Conference
Role-Aware Modeling for N-ary Relational Knowledge Bases,2021,WWW,International World Wide Web Conference
Rumor Detection with Field of Linear and Non-Linear Propagation,2021,WWW,International World Wide Web Conference
Scalable Auto-weighted Discrete Multi-view Clustering,2021,WWW,International World Wide Web Conference
SDFVAE: Static and Dynamic Factorized VAE for Anomaly Detection of Multivariate CDN KPIs,2021,WWW,International World Wide Web Conference
Search Engines vs. Symptom Checkers: A Comparison of their Effectiveness for Online Health Advice,2021,WWW,International World Wide Web Conference
Searching to Sparsify Tensor Decomposition for N-ary relational data,2021,WWW,International World Wide Web Conference
"Security of Alerting Authorities in the WWW: Measuring Namespaces, DNSSEC, and Web PKI",2021,WWW,International World Wide Web Conference
Self-Supervised Hyperboloid Representations from Logical Queries over Knowledge Graphs,2021,WWW,International World Wide Web Conference
Self-Supervised Learning of Contextual Embeddings for Link Prediction in Heterogeneous Networks,2021,WWW,International World Wide Web Conference
Self-Supervised Multi-Channel Hypergraph Convolutional Network for Social Recommendation,2021,WWW,International World Wide Web Conference
Semi-Open Information Extraction,2021,WWW,International World Wide Web Conference
SEPAL: Towards a Large-scale Analysis of SEAndroid Policy Customization,2021,WWW,International World Wide Web Conference
SEPAR: Towards Regulating Future of Work Multi-Platform Crowdworking Environments with Privacy Guarantees,2021,WWW,International World Wide Web Conference
Session-aware Linear Item-Item Models for Session-based Recommendation,2021,WWW,International World Wide Web Conference
Sinkhorn Collaborative Filtering,2021,WWW,International World Wide Web Conference
Situation and Behavior Understanding by Trope Detection on Films,2021,WWW,International World Wide Web Conference
